# referencia de ruido: PSD promedio de los archivos de Datos/Ruido (Welch, notch 60Hz)
freq_hz,psd_medio
294.5,4.1286754459439325e-07
295.0,4.168118876289925e-07
295.5,4.302727015170393e-07
296.0,4.359608171054814e-07
296.5,4.82706541600421e-07
297.0,4.581482160284969e-07
297.5,4.3356351363485915e-07
298.0,4.6282942377103736e-07
298.5,5.10512860899912e-07
299.0,6.127304013143975e-07
299.5,1.7476048525578888e-06
300.0,3.5784280669694744e-06
300.5,1.3044712610766546e-06
301.0,5.022163294889044e-07
301.5,4.4550045777383715e-07
302.0,4.267968035312392e-07
302.5,4.1971921642510865e-07
303.0,4.3610835150519396e-07
303.5,4.359623467884083e-07
304.0,4.1054166625766475e-07
304.5,4.155461659979674e-07
305.0,4.147837702131222e-07
305.5,4.1033950533928626e-07
306.0,4.1865978381280903e-07
306.5,4.7387372676077287e-07
307.0,4.4350653269716487e-07
307.5,4.1124816522364666e-07
308.0,4.6218316936591557e-07
308.5,4.2712258425776603e-07
309.0,4.2470676062637557e-07
309.5,6.387198481144526e-07
310.0,9.192406798917045e-07
310.5,5.420420286915437e-07
311.0,4.107102673841658e-07
311.5,3.909778446124546e-07
312.0,3.982987307138594e-07
312.5,4.519313564994552e-07
313.0,4.531556212480216e-07
313.5,4.167112301317801e-07
314.0,3.7967822684383253e-07
314.5,3.9528115122664116e-07
315.0,4.091204404751746e-07
315.5,4.0654751160974627e-07
316.0,4.211936330302386e-07
316.5,4.64026906624227e-07
317.0,4.250777615439454e-07
317.5,3.9578589546763065e-07
318.0,3.9949197167604287e-07
318.5,4.1319632504990705e-07
319.0,4.4515012303654223e-07
319.5,6.895652861942799e-07
320.0,9.89594025560035e-07
320.5,5.343017652843323e-07
321.0,3.894502186886876e-07
321.5,3.811435268816754e-07
322.0,3.8684629902115896e-07
322.5,4.122841282805799e-07
323.0,4.6217409122467997e-07
323.5,4.462053595265782e-07
324.0,3.8219502493543976e-07
324.5,3.9447864050999754e-07
325.0,4.239678813152377e-07
325.5,4.0638758806591733e-07
326.0,4.145700274108008e-07
326.5,4.503033468556308e-07
327.0,4.159295681553962e-07
327.5,3.70560493339795e-07
328.0,3.886140508577792e-07
328.5,3.8104848097016214e-07
329.0,3.975115680898213e-07
329.5,6.141510518055597e-07
330.0,9.293354906776304e-07
330.5,5.457670725744335e-07
331.0,3.8754377024502144e-07
331.5,3.6963044419773527e-07
332.0,3.7504061884565686e-07
332.5,3.8547735982513665e-07
333.0,4.267735629157582e-07
333.5,4.20480005753064e-07
334.0,3.7410333017335197e-07
334.5,3.6141867479771024e-07
335.0,3.651671456871394e-07
335.5,3.735499356301333e-07
336.0,3.935781726279319e-07
336.5,4.286141503857588e-07
337.0,4.031693029459675e-07
337.5,4.0412807790708093e-07
338.0,3.6489948001191454e-07
338.5,3.650827208582614e-07
339.0,3.912914953350803e-07
339.5,6.845257754494641e-07
340.0,1.0761020335775363e-06
340.5,5.3080284684778e-07
341.0,3.61139669313115e-07
341.5,3.3819519471676884e-07
342.0,3.6316770879781915e-07
342.5,3.6944381811743353e-07
343.0,3.8518954631790684e-07
343.5,3.875791232530648e-07
344.0,3.497900519524384e-07
344.5,3.2864538745502003e-07
345.0,3.3582551227405167e-07
345.5,3.5603419635756487e-07
346.0,3.718856688485882e-07
346.5,3.8755296689388013e-07
347.0,3.704605120446363e-07
347.5,3.4396067205500046e-07
348.0,3.5814297634424065e-07
348.5,3.6198683364346544e-07
349.0,3.8225010097981237e-07
349.5,8.088883190271748e-07
350.0,1.5442923518382285e-06
350.5,6.691611020945906e-07
351.0,3.7620282723307285e-07
351.5,3.663858838272474e-07
352.0,3.6356582372036315e-07
352.5,3.706562898273142e-07
353.0,4.031562418566908e-07
353.5,3.9638843483795906e-07
354.0,3.696216638934361e-07
354.5,3.6236019142465507e-07
355.0,3.915559874563408e-07
355.5,4.107568470225113e-07
356.0,4.162299562072764e-07
356.5,4.416935177790016e-07
357.0,4.3618238305636633e-07
357.5,4.506617934514766e-07
358.0,5.066526428341423e-07
358.5,5.210952089997761e-07
359.0,7.16963507372675e-07
359.5,1.4026979850234378e-05
360.0,3.728461194096713e-05
360.5,1.0214210868748169e-05
361.0,5.938509495206387e-07
361.5,4.4886694671753745e-07
362.0,4.274089227533594e-07
362.5,4.479025743877618e-07
363.0,4.31202161772399e-07
363.5,3.990113407299367e-07
364.0,3.8727590806176987e-07
364.5,3.866361473731164e-07
365.0,3.906862571912966e-07
365.5,3.967556060934848e-07
366.0,4.2326826838545745e-07
366.5,4.4061091331979867e-07
367.0,3.749546457261034e-07
367.5,3.651787261540485e-07
368.0,3.5428792509895136e-07
368.5,3.591912926272694e-07
369.0,3.914056128343267e-07
369.5,9.107280206061979e-07
370.0,1.6953853648781383e-06
370.5,6.655093788029228e-07
371.0,3.6031108605178436e-07
371.5,3.4703701597168813e-07
372.0,3.234560676752775e-07
372.5,3.258730439115637e-07
373.0,3.6883840152043174e-07
373.5,3.501877915588286e-07
374.0,3.2597851876187785e-07
374.5,3.4394022087157255e-07
375.0,4.240109732581386e-07
375.5,3.714427066442391e-07
376.0,3.475375542564877e-07
376.5,3.647132813719468e-07
377.0,3.4650896372598855e-07
377.5,3.2057420658072317e-07
378.0,3.173058609457783e-07
378.5,3.141168724345794e-07
379.0,3.454293883141612e-07
379.5,5.621255076325004e-07
380.0,8.422988560640722e-07
380.5,4.700452895163118e-07
381.0,3.368141830083913e-07
381.5,3.17924896611942e-07
382.0,3.11982960970213e-07
382.5,3.229072319348131e-07
383.0,3.4229020683294307e-07
383.5,3.3762799149930136e-07
384.0,3.050902502687066e-07
384.5,2.942473498530815e-07
385.0,3.1300438473014116e-07
385.5,3.2952532257947523e-07
386.0,3.250673183685639e-07
386.5,3.373971169059777e-07
387.0,3.2583134429259467e-07
387.5,3.295492753367225e-07
388.0,3.159669543848532e-07
388.5,3.1037983118821e-07
389.0,3.2440592950871796e-07
389.5,4.81341201702587e-07
390.0,6.933852824236369e-07
390.5,4.1142938933939803e-07
391.0,3.0955750641484225e-07
391.5,3.0665998549284715e-07
392.0,3.163398602951625e-07
392.5,3.217737245017241e-07
393.0,3.4005115874615026e-07
393.5,3.3495099563500295e-07
394.0,3.07970437789342e-07
394.5,2.96729226194344e-07
395.0,2.975843165104558e-07
395.5,3.10560278099716e-07
396.0,3.2898212730669407e-07
396.5,3.518264576871328e-07
397.0,3.2064466756837656e-07
397.5,2.963125410918009e-07
398.0,3.170913341713852e-07
398.5,3.3371169308947256e-07
399.0,3.5893550634815025e-07
399.5,6.819559541525329e-07
400.0,9.592830775163182e-07
400.5,4.5376547653628337e-07
401.0,3.171353263994153e-07
401.5,3.141755000455818e-07
402.0,3.110259772476529e-07
402.5,3.0687972915376827e-07
403.0,3.177192307916258e-07
403.5,3.068250544598363e-07
404.0,2.8492659107132946e-07
404.5,2.8294316812533723e-07
405.0,2.8884720310920495e-07
405.5,3.007738779397372e-07
406.0,3.069168300999588e-07
406.5,3.172472678928429e-07
407.0,2.943199677366491e-07
407.5,2.9332951926952334e-07
408.0,3.063764090488716e-07
408.5,3.169966968011981e-07
409.0,3.1357397461180156e-07
409.5,3.7179731357877584e-07
410.0,4.5535003286325407e-07
410.5,3.307219078827481e-07
411.0,2.8869606415929746e-07
411.5,2.8937952129957064e-07
412.0,2.9316926001388413e-07
412.5,3.191969994707093e-07
413.0,3.088470699247186e-07
413.5,2.907226783713805e-07
414.0,2.8063042972076544e-07
414.5,2.7570433645167e-07
415.0,2.8594750771569646e-07
415.5,3.0231128829381977e-07
416.0,3.043375980142247e-07
416.5,3.093655926236759e-07
417.0,2.94792412764634e-07
417.5,3.075266548748997e-07
418.0,3.6819839783660887e-07
418.5,3.5247271209110625e-07
419.0,3.9076565864206206e-07
419.5,1.0382412007888725e-06
420.0,2.0980085927207097e-06
420.5,9.44752791612871e-07
421.0,3.427517056735477e-07
421.5,3.032489078967115e-07
422.0,2.890961818245926e-07
422.5,2.859806505033738e-07
423.0,2.9691622903973397e-07
423.5,2.839450461668225e-07
424.0,2.686655010904975e-07
424.5,2.819293073288744e-07
425.0,3.0581075059200486e-07
425.5,2.866671493112312e-07
426.0,2.7228879226178916e-07
426.5,2.798256201122355e-07
427.0,2.705369325967749e-07
427.5,2.7297383990705025e-07
428.0,2.8328821354031704e-07
428.5,2.810974039445948e-07
429.0,2.892964119423554e-07
429.5,4.039944821005445e-07
430.0,5.535063213968173e-07
430.5,3.259883162026717e-07
431.0,2.64105053843195e-07
431.5,2.648912564917044e-07
432.0,2.525041065111876e-07
432.5,2.477901936291748e-07
